,,,"80 to 84 years","..","20612.1.2.15","177,100"
,,,"85 years and over","..","20612.1.2.16","117,270"
,,"Married","Total - Age","..","20612.1.3.1","5,738,390"
,,,"15 to 19 years","..","20612.1.3.2","815"
,,,"20 to 24 years","..","20612.1.3.3","27,095"
,,,"25 to 29 years","..","20612.1.3.4","173,085"
,,,"30 to 34 years","..","20612.1.3.5","436,460"
,,,"35 to 39 years","..","20612.1.3.6","558,175"
,,,"40 to 44 years","..","20612.1.3.7","562,520"
,,,"45 to 49 years","..","20612.1.3.8","576,320"
,,,"50 to 54 years","..","20612.1.3.9","598,195"
,,,"55 to 59 years","..","20612.1.3.10","655,030"
,,,"60 to 64 years","..","20612.1.3.11","617,340"
,,,"65 to 69 years","..","20612.1.3.12","525,325"
,,,"70 to 74 years","..","20612.1.3.13","441,330"
,,,"75 to 79 years","..","20612.1.3.14","282,635"
,,,"80 to 84 years","..","20612.1.3.15","170,360"
,,,"85 years and over","..","20612.1.3.16","113,710"
,,"Living common-law","Total - Age","..","20612.1.4.1","1,031,335"
,,,"15 to 19 years","..","20612.1.4.2","3,295"
,,,"20 to 24 years","..","20612.1.4.3","57,960"
,,,"25 to 29 years","..","20612.1.4.4","170,195"
,,,"30 to 34 years","..","20612.1.4.5","161,095"
,,,"35 to 39 years","..","20612.1.4.6","116,590"
,,,"40 to 44 years","..","20612.1.4.7","92,570"
,,,"45 to 49 years","..","20612.1.4.8","84,275"
,,,"50 to 54 years","..","20612.1.4.9","84,430"
,,,"55 to 59 years","..","20612.1.4.10","88,020"
,,,"60 to 64 years","..","20612.1.4.11","69,900"
,,,"65 to 69 years","..","20612.1.4.12","46,595"
,,,"70 to 74 years","..","20612.1.4.13","30,660"
,,,"75 to 79 years","..","20612.1.4.14","15,465"
,,,"80 to 84 years","..","20612.1.4.15","6,740"
,,,"85 years and over","..","20612.1.4.16","3,560"
,,"Living common law - Never married","Total - Age","..","20612.1.5.1","727,825"
,,,"15 to 19 years","..","20612.1.5.2","3,290"
,,,"20 to 24 years","..","20612.1.5.3","57,735"
,,,"25 to 29 years","..","20612.1.5.4","168,045"
,,,"30 to 34 years","..","20612.1.5.5","152,145"
,,,"35 to 39 years","..","20612.1.5.6","98,205"
,,,"40 to 44 years","..","20612.1.5.7","66,200"
,,,"45 to 49 years","..","20612.1.5.8","50,075"
,,,"50 to 54 years","..","20612.1.5.9","42,320"
,,,"55 to 59 years","..","20612.1.5.10","38,060"
,,,"60 to 64 years","..","20612.1.5.11","25,465"
,,,"65 to 69 years","..","20612.1.5.12","13,855"
,,,"70 to 74 years","..","20612.1.5.13","7,495"
,,,"75 to 79 years","..","20612.1.5.14","3,135"
,,,"80 to 84 years","..","20612.1.5.15","1,175"
,,,"85 years and over","..","20612.1.5.16","620"
,,"Living common law - Separated","Total - Age","..","20612.1.6.1","55,440"
,,,"15 to 19 years","..","20612.1.6.2","0"
,,,"20 to 24 years","..","20612.1.6.3","115"
,,,"25 to 29 years","..","20612.1.6.4","845"
,,,"30 to 34 years","..","20612.1.6.5","2,730"
,,,"35 to 39 years","..","20612.1.6.6","5,045"
,,,"40 to 44 years","..","20612.1.6.7","7,015"
,,,"45 to 49 years","..","20612.1.6.8","8,355"
,,,"50 to 54 years","..","20612.1.6.9","8,975"
,,,"55 to 59 years","..","20612.1.6.10","8,655"
,,,"60 to 64 years","..","20612.1.6.11","6,280"
,,,"65 to 69 years","..","20612.1.6.12","3,700"
,,,"70 to 74 years","..","20612.1.6.13","2,190"
,,,"75 to 79 years","..","20612.1.6.14","995"
,,,"80 to 84 years","..","20612.1.6.15","380"
,,,"85 years and over","..","20612.1.6.16","170"
,,"Living common law - Divorced","Total - Age","..","20612.1.7.1","220,445"
,,,"15 to 19 years","..","20612.1.7.2","0"
,,,"20 to 24 years","..","20612.1.7.3","90"
,,,"25 to 29 years","..","20612.1.7.4","1,240"
,,,"30 to 34 years","..","20612.1.7.5","6,030"
,,,"35 to 39 years","..","20612.1.7.6","13,015"
,,,"40 to 44 years","..","20612.1.7.7","18,745"
,,,"45 to 49 years","..","20612.1.7.8","24,770"
,,,"50 to 54 years","..","20612.1.7.9","31,350"
,,,"55 to 59 years","..","20612.1.7.10","38,070"
,,,"60 to 64 years","..","20612.1.7.11","34,080"
,,,"65 to 69 years","..","20612.1.7.12","24,655"
,,,"70 to 74 years","..","20612.1.7.13","16,585"
,,,"75 to 79 years","..","20612.1.7.14","7,865"
,,,"80 to 84 years","..","20612.1.7.15","2,825"
,,,"85 years and over","..","20612.1.7.16","1,115"
,,"Living common law - Widowed","Total - Age","..","20612.1.8.1","27,630"
,,,"15 to 19 years","..","20612.1.8.2","0"
,,,"20 to 24 years","..","20612.1.8.3","20"
,,,"25 to 29 years","..","20612.1.8.4","60"
,,,"30 to 34 years","..","20612.1.8.5","185"
,,,"35 to 39 years","..","20612.1.8.6","335"
,,,"40 to 44 years","..","20612.1.8.7","610"
,,,"45 to 49 years","..","20612.1.8.8","1,075"
,,,"50 to 54 years","..","20612.1.8.9","1,790"
,,,"55 to 59 years","..","20612.1.8.10","3,230"
,,,"60 to 64 years","..","20612.1.8.11","4,070"
,,,"65 to 69 years","..","20612.1.8.12","4,385"
,,,"70 to 74 years","..","20612.1.8.13","4,390"
,,,"75 to 79 years","..","20612.1.8.14","3,465"
,,,"80 to 84 years","..","20612.1.8.15","2,355"
,,,"85 years and over","..","20612.1.8.16","1,655"
,,"Not married and not living common-law","Total - Age","..","20612.1.9.1","5,202,420"
,,,"15 to 19 years","..","20612.1.9.2","797,350"
,,,"20 to 24 years","..","20612.1.9.3","810,540"
,,,"25 to 29 years","..","20612.1.9.4","632,125"
,,,"30 to 34 years","..","20612.1.9.5","383,660"
,,,"35 to 39 years","..","20612.1.9.6","273,265"
,,,"40 to 44 years","..","20612.1.9.7","235,070"
,,,"45 to 49 years","..","20612.1.9.8","233,985"
,,,"50 to 54 years","..","20612.1.9.9","258,645"
,,,"55 to 59 years","..","20612.1.9.10","297,105"
,,,"60 to 64 years","..","20612.1.9.11","279,335"
,,,"65 to 69 years","..","20612.1.9.12","241,290"
,,,"70 to 74 years","..","20612.1.9.13","219,295"
,,,"75 to 79 years","..","20612.1.9.14","171,390"
,,,"80 to 84 years","..","20612.1.9.15","148,015"
,,,"85 years and over","..","20612.1.9.16","221,350"
,,"Not married and not living common law - Never married","Total - Age","..","20612.1.10.1","3,515,215"
,,,"15 to 19 years","..","20612.1.10.2","797,345"
,,,"20 to 24 years","..","20612.1.10.3","807,615"
,,,"25 to 29 years","..","20612.1.10.4","620,195"
,,,"30 to 34 years","..","20612.1.10.5","350,825"
,,,"35 to 39 years","..","20612.1.10.6","212,190"
,,,"40 to 44 years","..","20612.1.10.7","148,150"
,,,"45 to 49 years","..","20612.1.10.8","119,505"
,,,"50 to 54 years","..","20612.1.10.9","113,855"
,,,"55 to 59 years","..","20612.1.10.10","113,815"
,,,"60 to 64 years","..","20612.1.10.11","89,070"
,,,"65 to 69 years","..","20612.1.10.12","59,135"
,,,"70 to 74 years","..","20612.1.10.13","38,510"
,,,"75 to 79 years","..","20612.1.10.14","20,165"
,,,"80 to 84 years","..","20612.1.10.15","12,155"
,,,"85 years and over","..","20612.1.10.16","12,690"
,,"Not married and not living common law - Separated","Total - Age","..","20612.1.11.1","333,770"
,,,"15 to 19 years","..","20612.1.11.2","0"
,,,"20 to 24 years","..","20612.1.11.3","1,405"
,,,"25 to 29 years","..","20612.1.11.4","6,315"
,,,"30 to 34 years","..","20612.1.11.5","16,825"
,,,"35 to 39 years","..","20612.1.11.6","29,075"
,,,"40 to 44 years","..","20612.1.11.7","37,620"
,,,"45 to 49 years","..","20612.1.11.8","43,310"
,,,"50 to 54 years","..","20612.1.11.9","46,740"
,,,"55 to 59 years","..","20612.1.11.10","47,515"
,,,"60 to 64 years","..","20612.1.11.11","39,065"
,,,"65 to 69 years","..","20612.1.11.12","27,605"
,,,"70 to 74 years","..","20612.1.11.13","19,255"
,,,"75 to 79 years","..","20612.1.11.14","10,315"
,,,"80 to 84 years","..","20612.1.11.15","5,380"
,,,"85 years and over","..","20612.1.11.16","3,365"
,,"Not married and not living common law - Divorced","Total - Age","..","20612.1.12.1","695,630"
,,,"15 to 19 years","..","20612.1.12.2","0"
,,,"20 to 24 years","..","20612.1.12.3","985"
,,,"25 to 29 years","..","20612.1.12.4","4,495"
,,,"30 to 34 years","..","20612.1.12.5","14,615"
,,,"35 to 39 years","..","20612.1.12.6","29,585"
,,,"40 to 44 years","..","20612.1.12.7","44,985"
,,,"45 to 49 years","..","20612.1.12.8","63,710"
,,,"50 to 54 years","..","20612.1.12.9","84,105"
,,,"55 to 59 years","..","20612.1.12.10","108,890"
,,,"60 to 64 years","..","20612.1.12.11","106,405"
,,,"65 to 69 years","..","20612.1.12.12","89,590"
,,,"70 to 74 years","..","20612.1.12.13","70,555"
,,,"75 to 79 years","..","20612.1.12.14","40,675"
,,,"80 to 84 years","..","20612.1.12.15","21,890"
,,,"85 years and over","..","20612.1.12.16","15,135"
,,"Not married and not living common law - Widowed","Total - Age","..","20612.1.13.1","657,800"
,,,"15 to 19 years","..","20612.1.13.2","0"
,,,"20 to 24 years","..","20612.1.13.3","540"
,,,"25 to 29 years","..","20612.1.13.4","1,125"
,,,"30 to 34 years","..","20612.1.13.5","1,395"
,,,"35 to 39 years","..","20612.1.13.6","2,405"
,,,"40 to 44 years","..","20612.1.13.7","4,315"
,,,"45 to 49 years","..","20612.1.13.8","7,465"
,,,"50 to 54 years","..","20612.1.13.9","13,940"
,,,"55 to 59 years","..","20612.1.13.10","26,880"
,,,"60 to 64 years","..","20612.1.13.11","44,800"
,,,"65 to 69 years","..","20612.1.13.12","64,970"
,,,"70 to 74 years","..","20612.1.13.13","90,970"
,,,"75 to 79 years","..","20612.1.13.14","100,235"
,,,"80 to 84 years","..","20612.1.13.15","108,595"
,,,"85 years and over","..","20612.1.13.16","190,160"
,"Men+ 4","Total - Marital status","Total - Age","..","20612.2.1.1","5,815,225"
,,,"15 to 19 years","..","20612.2.1.2","413,485"
,,,"20 to 24 years","..","20612.2.1.3","465,520"
,,,"25 to 29 years","..","20612.2.1.4","497,185"
,,,"30 to 34 years","..","20612.2.1.5","487,465"
,,,"35 to 39 years","..","20612.2.1.6","463,175"
,,,"40 to 44 years","..","20612.2.1.7","427,865"
,,,"45 to 49 years","..","20612.2.1.8","430,580"
,,,"50 to 54 years","..","20612.2.1.9","455,420"
,,,"55 to 59 years","..","20612.2.1.10","507,695"
,,,"60 to 64 years","..","20612.2.1.11","467,950"
,,,"65 to 69 years","..","20612.2.1.12","386,325"
,,,"70 to 74 years","..","20612.2.1.13","325,435"
,,,"75 to 79 years","..","20612.2.1.14","217,490"
,,,"80 to 84 years","..","20612.2.1.15","143,065"
,,,"85 years and over","..","20612.2.1.16","126,570"
,,"Married or living common-law","Total - Age","..","20612.2.2.1","3,384,485"
,,,"15 to 19 years","..","20612.2.2.2","1,250"
,,,"20 to 24 years","..","20612.2.2.3","31,365"
,,,"25 to 29 years","..","20612.2.2.4","143,125"
,,,"30 to 34 years","..","20612.2.2.5","275,590"
,,,"35 to 39 years","..","20612.2.2.6","324,880"
,,,"40 to 44 years","..","20612.2.2.7","317,980"
,,,"45 to 49 years","..","20612.2.2.8","325,920"
,,,"50 to 54 years","..","20612.2.2.9","339,205"
,,,"55 to 59 years","..","20612.2.2.10","374,470"
,,,"60 to 64 years","..","20612.2.2.11","349,460"
,,,"65 to 69 years","..","20612.2.2.12","295,430"
,,,"70 to 74 years","..","20612.2.2.13","253,070"
,,,"75 to 79 years","..","20612.2.2.14","169,080"
,,,"80 to 84 years","..","20612.2.2.15","106,270"
,,,"85 years and over","..","20612.2.2.16","77,410"
,,"Married","Total - Age","..","20612.2.3.1","2,866,820"
,,,"15 to 19 years","..","20612.2.3.2","200"
,,,"20 to 24 years","..","20612.2.3.3","8,460"
,,,"25 to 29 years","..","20612.2.3.4","66,455"
,,,"30 to 34 years","..","20612.2.3.5","193,925"
,,,"35 to 39 years","..","20612.2.3.6","264,725"
,,,"40 to 44 years","..","20612.2.3.7","270,730"
,,,"45 to 49 years","..","20612.2.3.8","282,650"
,,,"50 to 54 years","..","20612.2.3.9","296,145"
,,,"55 to 59 years","..","20612.2.3.10","328,735"
,,,"60 to 64 years","..","20612.2.3.11","312,650"
,,,"65 to 69 years","..","20612.2.3.12","270,185"
,,,"70 to 74 years","..","20612.2.3.13","235,625"
,,,"75 to 79 years","..","20612.2.3.14","159,600"
,,,"80 to 84 years","..","20612.2.3.15","101,860"
,,,"85 years and over","..","20612.2.3.16","74,875"
,,"Living common-law","Total - Age","..","20612.2.4.1","517,665"
,,,"15 to 19 years","..","20612.2.4.2","1,045"
,,,"20 to 24 years","..","20612.2.4.3","22,900"
,,,"25 to 29 years","..","20612.2.4.4","76,665"
,,,"30 to 34 years","..","20612.2.4.5","81,665"
,,,"35 to 39 years","..","20612.2.4.6","60,155"
,,,"40 to 44 years","..","20612.2.4.7","47,250"
,,,"45 to 49 years","..","20612.2.4.8","43,270"
,,,"50 to 54 years","..","20612.2.4.9","43,060"
,,,"55 to 59 years","..","20612.2.4.10","45,735"
,,,"60 to 64 years","..","20612.2.4.11","36,810"
,,,"65 to 69 years","..","20612.2.4.12","25,250"
,,,"70 to 74 years","..","20612.2.4.13","17,445"
,,,"75 to 79 years","..","20612.2.4.14","9,475"
,,,"80 to 84 years","..","20612.2.4.15","4,405"
,,,"85 years and over","..","20612.2.4.16","2,525"
,,"Living common law - Never married","Total - Age","..","20612.2.5.1","366,170"
,,,"15 to 19 years","..","20612.2.5.2","1,045"
,,,"20 to 24 years","..","20612.2.5.3","22,840"
,,,"25 to 29 years","..","20612.2.5.4","75,970"
,,,"30 to 34 years","..","20612.2.5.5","78,235"
,,,"35 to 39 years","..","20612.2.5.6","52,225"
,,,"40 to 44 years","..","20612.2.5.7","35,205"
,,,"45 to 49 years","..","20612.2.5.8","26,920"
,,,"50 to 54 years","..","20612.2.5.9","23,045"
,,,"55 to 59 years","..","20612.2.5.10","21,155"
,,,"60 to 64 years","..","20612.2.5.11","14,090"
,,,"65 to 69 years","..","20612.2.5.12","7,855"
,,,"70 to 74 years","..","20612.2.5.13","4,405"
,,,"75 to 79 years","..","20612.2.5.14","1,940"
,,,"80 to 84 years","..","20612.2.5.15","780"
,,,"85 years and over","..","20612.2.5.16","455"
,,"Living common law - Separated","Total - Age","..","20612.2.6.1","29,450"
,,,"15 to 19 years","..","20612.2.6.2","0"
,,,"20 to 24 years","..","20612.2.6.3","20"
,,,"25 to 29 years","..","20612.2.6.4","255"
,,,"30 to 34 years","..","20612.2.6.5","1,105"
,,,"35 to 39 years","..","20612.2.6.6","2,295"
,,,"40 to 44 years","..","20612.2.6.7","3,355"
,,,"45 to 49 years","..","20612.2.6.8","4,275"
,,,"50 to 54 years","..","20612.2.6.9","4,720"
,,,"55 to 59 years","..","20612.2.6.10","4,730"
,,,"60 to 64 years","..","20612.2.6.11","3,575"
,,,"65 to 69 years","..","20612.2.6.12","2,360"
,,,"70 to 74 years","..","20612.2.6.13","1,495"
,,,"75 to 79 years","..","20612.2.6.14","785"
,,,"80 to 84 years","..","20612.2.6.15","330"
,,,"85 years and over","..","20612.2.6.16","140"
,,"Living common law - Divorced","Total - Age","..","20612.2.7.1","110,510"
,,,"15 to 19 years","..","20612.2.7.2","0"
,,,"20 to 24 years","..","20612.2.7.3","25"
,,,"25 to 29 years","..","20612.2.7.4","405"
,,,"30 to 34 years","..","20612.2.7.5","2,280"
,,,"35 to 39 years","..","20612.2.7.6","5,540"
,,,"40 to 44 years","..","20612.2.7.7","8,500"
,,,"45 to 49 years","..","20612.2.7.8","11,765"
,,,"50 to 54 years","..","20612.2.7.9","14,785"
,,,"55 to 59 years","..","20612.2.7.10","18,800"
,,,"60 to 64 years","..","20612.2.7.11","17,660"
,,,"65 to 69 years","..","20612.2.7.12","13,280"
,,,"70 to 74 years","..","20612.2.7.13","9,595"
,,,"75 to 79 years","..","20612.2.7.14","5,050"
,,,"80 to 84 years","..","20612.2.7.15","1,965"
,,,"85 years and over","..","20612.2.7.16","860"
,,"Living common law - Widowed","Total - Age","..","20612.2.8.1","11,535"
,,,"15 to 19 years","..","20612.2.8.2","0"
,,,"20 to 24 years","..","20612.2.8.3","10"
,,,"25 to 29 years","..","20612.2.8.4","25"
,,,"30 to 34 years","..","20612.2.8.5","45"
,,,"35 to 39 years","..","20612.2.8.6","100"
,,,"40 to 44 years","..","20612.2.8.7","190"
,,,"45 to 49 years","..","20612.2.8.8","300"
,,,"50 to 54 years","..","20612.2.8.9","510"
,,,"55 to 59 years","..","20612.2.8.10","1,055"
,,,"60 to 64 years","..","20612.2.8.11","1,485"
,,,"65 to 69 years","..","20612.2.8.12","1,755"
,,,"70 to 74 years","..","20612.2.8.13","1,950"
,,,"75 to 79 years","..","20612.2.8.14","1,700"
,,,"80 to 84 years","..","20612.2.8.15","1,330"
,,,"85 years and over","..","20612.2.8.16","1,075"
,,"Not married and not living common-law","Total - Age","..","20612.2.9.1","2,430,735"
,,,"15 to 19 years","..","20612.2.9.2","412,235"
,,,"20 to 24 years","..","20612.2.9.3","434,160"
,,,"25 to 29 years","..","20612.2.9.4","354,065"
,,,"30 to 34 years","..","20612.2.9.5","211,875"
,,,"35 to 39 years","..","20612.2.9.6","138,295"
,,,"40 to 44 years","..","20612.2.9.7","109,885"
,,,"45 to 49 years","..","20612.2.9.8","104,655"
,,,"50 to 54 years","..","20612.2.9.9","116,220"
,,,"55 to 59 years","..","20612.2.9.10","133,225"
,,,"60 to 64 years","..","20612.2.9.11","118,495"
,,,"65 to 69 years","..","20612.2.9.12","90,890"
,,,"70 to 74 years","..","20612.2.9.13","72,365"
,,,"75 to 79 years","..","20612.2.9.14","48,405"
,,,"80 to 84 years","..","20612.2.9.15","36,805"
,,,"85 years and over","..","20612.2.9.16","49,160"
,,"Not married and not living common law - Never married","Total - Age","..","20612.2.10.1","1,885,700"
,,,"15 to 19 years","..","20612.2.10.2","412,230"
,,,"20 to 24 years","..","20612.2.10.3","433,010"
,,,"25 to 29 years","..","20612.2.10.4","349,880"
,,,"30 to 34 years","..","20612.2.10.5","199,825"
,,,"35 to 39 years","..","20612.2.10.6","116,020"
,,,"40 to 44 years","..","20612.2.10.7","78,070"
,,,"45 to 49 years","..","20612.2.10.8","62,060"
,,,"50 to 54 years","..","20612.2.10.9","61,330"
,,,"55 to 59 years","..","20612.2.10.10","62,295"
,,,"60 to 64 years","..","20612.2.10.11","47,260"
,,,"65 to 69 years","..","20612.2.10.12","29,215"
,,,"70 to 74 years","..","20612.2.10.13","17,645"
,,,"75 to 79 years","..","20612.2.10.14","8,470"
,,,"80 to 84 years","..","20612.2.10.15","4,620"
,,,"85 years and over","..","20612.2.10.16","3,775"
,,"Not married and not living common law - Separated","Total - Age","..","20612.2.11.1","139,670"
,,,"15 to 19 years","..","20612.2.11.2","0"
,,,"20 to 24 years","..","20612.2.11.3","475"
,,,"25 to 29 years","..","20612.2.11.4","2,175"
,,,"30 to 34 years","..","20612.2.11.5","6,040"
,,,"35 to 39 years","..","20612.2.11.6","10,565"
,,,"40 to 44 years","..","20612.2.11.7","14,070"
,,,"45 to 49 years","..","20612.2.11.8","16,880"
,,,"50 to 54 years","..","20612.2.11.9","19,130"
,,,"55 to 59 years","..","20612.2.11.10","20,640"
,,,"60 to 64 years","..","20612.2.11.11","17,505"
,,,"65 to 69 years","..","20612.2.11.12","12,830"
,,,"70 to 74 years","..","20612.2.11.13","9,405"
,,,"75 to 79 years","..","20612.2.11.14","5,265"
,,,"80 to 84 years","..","20612.2.11.15","2,855"
,,,"85 years and over","..","20612.2.11.16","1,840"
,,"Not married and not living common law - Divorced","Total - Age","..","20612.2.12.1","266,860"
,,,"15 to 19 years","..","20612.2.12.2","0"
,,,"20 to 24 years","..","20612.2.12.3","365"
,,,"25 to 29 years","..","20612.2.12.4","1,600"
,,,"30 to 34 years","..","20612.2.12.5","5,540"
,,,"35 to 39 years","..","20612.2.12.6","11,090"
,,,"40 to 44 years","..","20612.2.12.7","16,765"
,,,"45 to 49 years","..","20612.2.12.8","24,000"
,,,"50 to 54 years","..","20612.2.12.9","32,515"
,,,"55 to 59 years","..","20612.2.12.10","43,980"
,,,"60 to 64 years","..","20612.2.12.11","43,595"
,,,"65 to 69 years","..","20612.2.12.12","35,280"
,,,"70 to 74 years","..","20612.2.12.13","26,265"
,,,"75 to 79 years","..","20612.2.12.14","14,265"
,,,"80 to 84 years","..","20612.2.12.15","7,340"
,,,"85 years and over","..","20612.2.12.16","4,265"
,,"Not married and not living common law - Widowed","Total - Age","..","20612.2.13.1","138,495"
,,,"15 to 19 years","..","20612.2.13.2","0"
,,,"20 to 24 years","..","20612.2.13.3","310"
,,,"25 to 29 years","..","20612.2.13.4","405"
,,,"30 to 34 years","..","20612.2.13.5","475"
,,,"35 to 39 years","..","20612.2.13.6","620"
,,,"40 to 44 years","..","20612.2.13.7","985"
,,,"45 to 49 years","..","20612.2.13.8","1,720"
,,,"50 to 54 years","..","20612.2.13.9","3,240"
,,,"55 to 59 years","..","20612.2.13.10","6,315"
,,,"60 to 64 years","..","20612.2.13.11","10,130"
,,,"65 to 69 years","..","20612.2.13.12","13,565"
,,,"70 to 74 years","..","20612.2.13.13","19,050"
,,,"75 to 79 years","..","20612.2.13.14","20,410"
,,,"80 to 84 years","..","20612.2.13.15","21,995"
,,,"85 years and over","..","20612.2.13.16","39,280"
,"Women+ 5","Total - Marital status","Total - Age","..","20612.3.1.1","6,156,925"
,,,"15 to 19 years","..","20612.3.1.2","387,970"
,,,"20 to 24 years","..","20612.3.1.3","430,075"
,,,"25 to 29 years","..","20612.3.1.4","478,215"
,,,"30 to 34 years","..","20612.3.1.5","493,745"
,,,"35 to 39 years","..","20612.3.1.6","484,855"
,,,"40 to 44 years","..","20612.3.1.7","462,295"
,,,"45 to 49 years","..","20612.3.1.8","464,005"
,,,"50 to 54 years","..","20612.3.1.9","485,850"
,,,"55 to 59 years","..","20612.3.1.10","532,460"
,,,"60 to 64 years","..","20612.3.1.11","498,630"
,,,"65 to 69 years","..","20612.3.1.12","426,890"
,,,"70 to 74 years","..","20612.3.1.13","365,840"
,,,"75 to 79 years","..","20612.3.1.14","251,995"
,,,"80 to 84 years","..","20612.3.1.15","182,045"
,,,"85 years and over","..","20612.3.1.16","212,055"
,,"Married or living common-law","Total - Age","..","20612.3.2.1","3,385,240"
,,,"15 to 19 years","..","20612.3.2.2","2,855"
,,,"20 to 24 years","..","20612.3.2.3","53,695"
,,,"25 to 29 years","..","20612.3.2.4","200,155"
,,,"30 to 34 years","..","20612.3.2.5","321,960"
,,,"35 to 39 years","..","20612.3.2.6","349,890"
,,,"40 to 44 years","..","20612.3.2.7","337,110"
,,,"45 to 49 years","..","20612.3.2.8","334,675"
,,,"50 to 54 years","..","20612.3.2.9","343,420"
,,,"55 to 59 years","..","20612.3.2.10","368,580"
,,,"60 to 64 years","..","20612.3.2.11","337,785"
,,,"65 to 69 years","..","20612.3.2.12","276,485"
,,,"70 to 74 years","..","20612.3.2.13","218,915"
,,,"75 to 79 years","..","20612.3.2.14","129,015"
,,,"80 to 84 years","..","20612.3.2.15","70,830"
,,,"85 years and over","..","20612.3.2.16","39,860"
,,"Married","Total - Age","..","20612.3.3.1","2,871,570"
,,,"15 to 19 years","..","20612.3.3.2","610"
,,,"20 to 24 years","..","20612.3.3.3","18,630"
,,,"25 to 29 years","..","20612.3.3.4","106,620"
,,,"30 to 34 years","..","20612.3.3.5","242,540"
,,,"35 to 39 years","..","20612.3.3.6","293,455"
,,,"40 to 44 years","..","20612.3.3.7","291,790"
,,,"45 to 49 years","..","20612.3.3.8","293,670"
,,,"50 to 54 years","..","20612.3.3.9","302,045"
,,,"55 to 59 years","..","20612.3.3.10","326,300"
,,,"60 to 64 years","..","20612.3.3.11","304,695"
,,,"65 to 69 years","..","20612.3.3.12","255,140"
,,,"70 to 74 years","..","20612.3.3.13","205,700"
,,,"75 to 79 years","..","20612.3.3.14","123,030"
,,,"80 to 84 years","..","20612.3.3.15","68,505"
,,,"85 years and over","..","20612.3.3.16","38,835"
,,"Living common-law","Total - Age","..","20612.3.4.1","513,670"
,,,"15 to 19 years","..","20612.3.4.2","2,245"
,,,"20 to 24 years","..","20612.3.4.3","35,060"
,,,"25 to 29 years","..","20612.3.4.4","93,530"
,,,"30 to 34 years","..","20612.3.4.5","79,425"
,,,"35 to 39 years","..","20612.3.4.6","56,435"
,,,"40 to 44 years","..","20612.3.4.7","45,320"
,,,"45 to 49 years","..","20612.3.4.8","41,005"
,,,"50 to 54 years","..","20612.3.4.9","41,370"
,,,"55 to 59 years","..","20612.3.4.10","42,280"
,,,"60 to 64 years","..","20612.3.4.11","33,090"
,,,"65 to 69 years","..","20612.3.4.12","21,345"
,,,"70 to 74 years","..","20612.3.4.13","13,220"
,,,"75 to 79 years","..","20612.3.4.14","5,985"
,,,"80 to 84 years","..","20612.3.4.15","2,330"
,,,"85 years and over","..","20612.3.4.16","1,025"
,,"Living common law - Never married","Total - Age","..","20612.3.5.1","361,650"
,,,"15 to 19 years","..","20612.3.5.2","2,245"
,,,"20 to 24 years","..","20612.3.5.3","34,895"
,,,"25 to 29 years","..","20612.3.5.4","92,075"
,,,"30 to 34 years","..","20612.3.5.5","73,910"
,,,"35 to 39 years","..","20612.3.5.6","45,980"
,,,"40 to 44 years","..","20612.3.5.7","30,995"
,,,"45 to 49 years","..","20612.3.5.8","23,155"
,,,"50 to 54 years","..","20612.3.5.9","19,275"
